localID,pid,fields,dx,dy,dz,dpitch,dyaw,droll,comment
BP_Matchbox_C--arkan--TQKKVZBHJKEGYGGCWNXHWCACIATG--1658760179--BP_Matchbox_C /Game/ASophia/Maps/MainMapSubmaps/RiverlandPuzzles/RiverlandMatchboxes.RiverlandMatchboxes:PersistentLevel.BP_Matchbox135_32,6765,Mesh1Transform,-40,340,-520,0,0,0,the infamous sniperbox; still a bit harder to solve than most matchboxes but you dont have to get under the map
seek5--jonat--MGSOOVYKYZRNAJBTDYNHMFHDECUW--1685741295--BP_Seek5_C /Game/ASophia/Maps/TestingSubmaps/MountainPlacement/Mountain_Jonathan.Mountain_Jonathan:PersistentLevel.BP_Seek5_C_58,17226,CentralPillarTransform,309,618,184,0,0,0,pentad stuck in a rock moved back in bounds
matchbox--jonat--PXSOZWDAVFMSZWVHFVGNWWPXLRQS--1685485488--BP_Matchbox_C /Game/ASophia/Maps/TestingSubmaps/MountainPlacement/Mountain_Jonathan.Mountain_Jonathan:PersistentLevel.BP_Matchbox_C_50,17085,Mesh2Transform,-10,60,28,0,0,0,this matchbox can block a light motif from being solvable; moved it a bit
hiddenCube--jonat--AGVOUPLBUSQCHXETZBITXSWVWJOE--1677864030--BP_HiddenCube_C /Game/ASophia/Maps/TestingSubmaps/PuzzlePlacementMaps/WorkspaceJonathan.WorkspaceJonathan:PersistentLevel.BP_HiddenCube158,13828,ActorTransform,-340,-685,0,0,0,0,this cube may block a matchbox from being solved; moved it to the other column on the other side of the jumppad
BP_RacingRings_C--jbard--CFNZTZLDGVAEQKHRCVFLBUWXRXNV--1666264990--BP_RacingRings_C /Game/ASophia/Maps/MainMapSubmaps/Central/CentralPuzzles/CentralRacingRings.CentralRacingRings:PersistentLevel.BP_RacingRings8_6,10387,StartingPlatformTransform,-134,129,54,0,0,0,lucent glide ring starting platform was stuck in a rock almost fully though it was solvable
seek5--jbard--JMWGYCJWVXNLIWXVOCSJCVJIEMQL--1666106084--BP_Seek5_C /Game/ASophia/Maps/MainMapSubmaps/Central/CentralPuzzles/CentralSeek5.CentralSeek5:PersistentLevel.BP_Seek5_11,10458,DuplicateTransform-1,-123,-410,-80,0,0,0,one of the relics is outside the pentad ellipsoid; warning parent has rotation
SlabSocket_C--alyss--HKZGBZNYYMHWLHTHFPJFLXMKAMXH--1668710844--SlabSocket_C /Game/ASophia/Maps/MainMapSubmaps/RainForest/RainforestPuzzles/Rainforest_Slabs.Rainforest_Slabs:PersistentLevel.SlabSocket12_0,-1,monumentTransform|PuzzleBoxLocation,0,0,5,0,0,0,floor slab back to the ground
SlabSocket_C--alyss--LECVSWLMQGWKRGLMOONRMERTSJGC--1667603877--SlabSocket_C /Game/ASophia/Maps/MainMapSubmaps/RainForest/RainforestPuzzles/Rainforest_Slabs.Rainforest_Slabs:PersistentLevel.SlabSocket10_5,-1,monumentTransform|PuzzleBoxLocation,-120,-50,45,0,0,0,floor slab back to the ground
SlabSocket_C--jonat--GGEXSCVRQDRJTXJQDCFRTLIKUBUY--1681751648--SlabSocket_C /Game/ASophia/Maps/MainMapSubmaps/RiverlandEscarpment/RiverlandPuzzles/RiverlandSlabs.RiverlandSlabs:PersistentLevel.SlabSocket11,-1,monumentTransform|PuzzleBoxLocation,0,0,-35,0,0,0,floor slab back to the ground
SlabSocket_C--jonat--SWMFJWLQWPTULMFIWJVSMTMVIMXE--1681752993--SlabSocket_C /Game/ASophia/Maps/MainMapSubmaps/RiverlandEscarpment/RiverlandPuzzles/RiverlandSlabs.RiverlandSlabs:PersistentLevel.SlabSocket16,-1,monumentTransform|PuzzleBoxLocation,-50,-55,-15,0,0,0,floor slab back to the ground
SlabSocket_C--jonat--AXBWTNXUHOQATKVYFYYNTOWEADSX--1681752346--SlabSocket_C /Game/ASophia/Maps/MainMapSubmaps/RiverlandEscarpment/RiverlandPuzzles/RiverlandSlabs.RiverlandSlabs:PersistentLevel.SlabSocket13,-1,monumentTransform|PuzzleBoxLocation,-65,75,-10,0,0,0,floor slab back to the ground
SlabSocket_C--alyss--PXGCCVVMEPSBDELPFDHWZINTCOSO--1679324445--SlabSocket_C /Game/ASophia/Maps/MainMapSubmaps/Mountain/MountainPuzzles/Mountain_Slabs.Mountain_Slabs:PersistentLevel.SlabSocket9,-1,monumentTransform|PuzzleBoxLocation,0,0,30,0,0,0,floor slab back to the ground
SlabSocket_C--jonat--XDGUHRYDUWIIPCUDFJMJQSQROSNK--1681753337--SlabSocket_C /Game/ASophia/Maps/MainMapSubmaps/RiverlandEscarpment/RiverlandPuzzles/RiverlandSlabs.RiverlandSlabs:PersistentLevel.SlabSocket18,-1,monumentTransform|PuzzleBoxLocation,0,0,-10,0,0,0,floor slab back to the ground
SlabSocket_C--jonat--YNFBVHBPLVLJPSZEDVRPFUPGFEJR--1681752528--SlabSocket_C /Game/ASophia/Maps/MainMapSubmaps/RiverlandEscarpment/RiverlandPuzzles/RiverlandSlabs.RiverlandSlabs:PersistentLevel.SlabSocket14,-1,monumentTransform|PuzzleBoxLocation,0,0,5,0,0,0,floor slab back to the ground
SlabSocket_C--jonat--GJATYBRAJVMJYUPECPMKJUEIHJPM--1681753179--SlabSocket_C /Game/ASophia/Maps/MainMapSubmaps/RiverlandEscarpment/RiverlandPuzzles/RiverlandSlabs.RiverlandSlabs:PersistentLevel.SlabSocket17,-1,monumentTransform|PuzzleBoxLocation,0,0,-15,0,0,0,floor slab back to the ground
SlabSocket_C--arkan--UCIOBCFVOIEITIVCUWZECOOZLINF--1663101313--SlabSocket_C /Game/ASophia/Maps/MainMapSubmaps/RiverlandEscarpment/RiverlandEscarpmentZone/RiverlandIslands.RiverlandIslands:PersistentLevel.SlabSocket2_6,-1,monumentTransform|PuzzleBoxLocation,0,0,10,0,0,0,floor slab back to the ground
SlabSocket_C--jonat--OHWBVPZAPGYYAGRHTRGCQRVDJLMA--1681769996--SlabSocket_C /Game/ASophia/Maps/MainMapSubmaps/RiverlandEscarpment/RiverlandPuzzles/RiverlandSlabs.RiverlandSlabs:PersistentLevel.SlabSocket19,-1,monumentTransform|PuzzleBoxLocation,0,0,-5,0,0,0,floor slab back to the ground
SlabSocket_C--jonat--HXTLNKEOPPCPHDMZNVLRMDLNCALP--1681765490--SlabSocket_C /Game/ASophia/Maps/MainMapSubmaps/Redwood/RedwoodPuzzles/RedwoodSlabs.RedwoodSlabs:PersistentLevel.SlabSocket8,-1,monumentTransform|PuzzleBoxLocation,0,0,-60,0,0,0,floor slab back to the ground
SlabSocket_C--arkan--DJUMGTFJKBOCFZRCFIUKEFUATWZZ--1663101313--SlabSocket_C /Game/ASophia/Maps/MainMapSubmaps/Redwood/RedwoodPuzzles/RedwoodSlabs.RedwoodSlabs:PersistentLevel.SlabSocket6,-1,monumentTransform|PuzzleBoxLocation,0,0,15,0,0,0,floor slab back to the ground
SlabSocket_C--jonat--ZALICQQIQFNOSCIICHBWQDNOMXGC--1681765854--SlabSocket_C /Game/ASophia/Maps/MainMapSubmaps/Redwood/RedwoodPuzzles/RedwoodSlabs.RedwoodSlabs:PersistentLevel.SlabSocket11,-1,monumentTransform|PuzzleBoxLocation,-70,40,-80,0,0,0,floor slab back to the ground
SlabSocket_C--jonat--ODCGVVXCIFUCGVLRLEWEIWMKBVKY--1681765670--SlabSocket_C /Game/ASophia/Maps/MainMapSubmaps/Redwood/RedwoodPuzzles/RedwoodSlabs.RedwoodSlabs:PersistentLevel.SlabSocket10,-1,monumentTransform|PuzzleBoxLocation,0,0,-70,0,0,0,floor slab back to the ground
SlabSocket_C--jonat--VYDHQOZNZFBKRECFRCEZYNVVSZRZ--1681767370--SlabSocket_C /Game/ASophia/Maps/MainMapSubmaps/Redwood/RedwoodPuzzles/RedwoodSlabs.RedwoodSlabs:PersistentLevel.SlabSocket21,-1,monumentTransform|PuzzleBoxLocation,0,15,-31,0,0,0,floor slab back to the ground
SlabSocket_C--jonat--DXCTGLRLFKHMSDLTQRHDNHPMBULZ--1681767548--SlabSocket_C /Game/ASophia/Maps/MainMapSubmaps/Redwood/RedwoodPuzzles/RedwoodSlabs.RedwoodSlabs:PersistentLevel.SlabSocket22,-1,monumentTransform|PuzzleBoxLocation,0,0,-62,0,0,0,floor slab back to the ground
SlabSocket_C--arkan--KCKMYGWMIEXADHJZXCNOHBVVCHIG--1663101313--SlabSocket_C /Game/ASophia/Maps/MainMapSubmaps/Redwood/RedwoodPuzzles/RedwoodSlabs.RedwoodSlabs:PersistentLevel.SlabSocket14,-1,monumentTransform|PuzzleBoxLocation,0,0,-30,0,0,0,floor slab back to the ground
SlabSocket_C--arkan--TUYVYUEGNIZHNYAUSBSCOICNZLWG--1663101313--SlabSocket_C /Game/ASophia/Maps/MainMapSubmaps/Redwood/RedwoodPuzzles/RedwoodSlabs.RedwoodSlabs:PersistentLevel.SlabSocket12_3,-1,monumentTransform|PuzzleBoxLocation,0,0,-37,0,0,0,floor slab back to the ground
SlabSocket_C--jonat--LXKLTTBKJOQZREODTJLINAUCOGWJ--1681766116--SlabSocket_C /Game/ASophia/Maps/MainMapSubmaps/Redwood/RedwoodPuzzles/RedwoodSlabs.RedwoodSlabs:PersistentLevel.SlabSocket15,-1,monumentTransform|PuzzleBoxLocation,0,0,-200,0,0,0,floor slab back to the ground
SlabSocket_C--jonat--HFDAJIIIOLJNEPRAIZULUYZCWZHQ--1681766015--SlabSocket_C /Game/ASophia/Maps/MainMapSubmaps/Redwood/RedwoodPuzzles/RedwoodSlabs.RedwoodSlabs:PersistentLevel.SlabSocket13,-1,monumentTransform|PuzzleBoxLocation,-20,0,-80,0,0,0,floor slab back to the ground
SlabSocket_C--jonat--LQBFQGPPUCHAHZDMZNXJUSECTLWC--1681766647--SlabSocket_C /Game/ASophia/Maps/MainMapSubmaps/Redwood/RedwoodPuzzles/RedwoodSlabs.RedwoodSlabs:PersistentLevel.SlabSocket19,-1,monumentTransform|PuzzleBoxLocation,-60,0,-55,0,0,0,floor slab back to the ground
SlabSocket_C--jonat--HKROCZOIVLJMVIVTTQSGDTOQNHXX--1681766517--SlabSocket_C /Game/ASophia/Maps/MainMapSubmaps/Redwood/RedwoodPuzzles/RedwoodSlabs.RedwoodSlabs:PersistentLevel.SlabSocket18,-1,monumentTransform|PuzzleBoxLocation,0,0,-5,0,0,0,floor slab back to the ground
SlabSocket_C--jonat--TLQIJZOWCTVOIJEJPODIFNVHKXER--1681767255--SlabSocket_C /Game/ASophia/Maps/MainMapSubmaps/Redwood/RedwoodPuzzles/RedwoodSlabs.RedwoodSlabs:PersistentLevel.SlabSocket20,-1,monumentTransform|PuzzleBoxLocation,0,0,-35,0,0,0,floor slab back to the ground
SlabSocket_C--jonat--VFJXYAEXOJOHMUCUTBOIKSBRKCRT--1681766386--SlabSocket_C /Game/ASophia/Maps/MainMapSubmaps/Redwood/RedwoodPuzzles/RedwoodSlabs.RedwoodSlabs:PersistentLevel.SlabSocket17,-1,monumentTransform|PuzzleBoxLocation,0,0,-78,0,0,0,floor slab back to the ground
SlabSocket_C--jonat--DTKDPKRQVEHPUQDXYXQGSZYKUCZK--1681766283--SlabSocket_C /Game/ASophia/Maps/MainMapSubmaps/Redwood/RedwoodPuzzles/RedwoodSlabs.RedwoodSlabs:PersistentLevel.SlabSocket16,-1,monumentTransform|PuzzleBoxLocation,0,0,-20,0,0,0,floor slab back to the ground
SlabSocket_C--jonat--EOKDRUMIHSTBPISOVJLTLPYIELNE--1681765577--SlabSocket_C /Game/ASophia/Maps/MainMapSubmaps/Redwood/RedwoodPuzzles/RedwoodSlabs.RedwoodSlabs:PersistentLevel.SlabSocket9,-1,monumentTransform|PuzzleBoxLocation,0,0,-55,0,0,0,floor slab back to the ground
SlabSocket_C--jonat--EYOCBXSXMAXLNEWNYSUCKAYHGTMS--1681768862--SlabSocket_C /Game/ASophia/Maps/MainMapSubmaps/Mountain/MountainPuzzles/Mountain_Slabs.Mountain_Slabs:PersistentLevel.SlabSocket26,-1,monumentTransform|PuzzleBoxLocation,0,0,-10,0,0,0,floor slab back to the ground
SlabSocket_C--jonat--QGFCCLMUHFYFMADYFRQAWJKYHLGY--1681768507--SlabSocket_C /Game/ASophia/Maps/MainMapSubmaps/Mountain/MountainPuzzles/Mountain_Slabs.Mountain_Slabs:PersistentLevel.SlabSocket25,-1,monumentTransform|PuzzleBoxLocation,0,0,-5,0,0,0,floor slab back to the ground
SlabSocket_C--alyss--JKBTHPYRYEIWWAWOOSPQZTZJCORF--1679314051--SlabSocket_C /Game/ASophia/Maps/MainMapSubmaps/Mountain/MountainPuzzles/Mountain_Slabs.Mountain_Slabs:PersistentLevel.SlabSocket6,-1,monumentTransform|PuzzleBoxLocation,5,15,40,0,0,0,floor slab back to the ground
